ID,Nome,Sexo,Data_Nascimento,CPF,Conta,Agencia,Cartao,Limite_cartao,Saldo_conta_corrente,Investimentos
101,Roberto Alencar,M,10/01/1972,345.678.901-23,12934-9,0002,**** **** **** 1105,2500.00,890.15,Poupanca
102,Ana Paula Mendes,F,05/11/2000,456.789.012-34,55432-1,0001,**** **** **** 9921,7500.00,2300.00,CDB
103,Bruno Ferreira,M,30/08/1992,567.890.123-45,33210-8,0003,**** **** **** 5543,15000.00,120.00,Nenhum
104,Camila Oliveira,F,12/04/1988,678.901.234-56,99876-5,0001,**** **** **** 3321,3000.00,5400.60,LCI
105,Diego Santos,M,19/12/1995,789.012.345-67,11223-3,0002,**** **** **** 0012,1000.00,15.00,Nenhum
106,Elena Rodriguez,F,25/01/1980,890.123.456-78,44556-7,0001,**** **** **** 7765,25000.00,89000.00,ETF
107,Fabio Junior Lima,M,02/06/2003,901.234.567-89,77889-0,0004,**** **** **** 2234,4000.00,1100.00,CDB
108,Gisele Bündchen Ficticia,F,14/09/1991,012.345.678-90,66554-2,0001,**** **** **** 4490,50000.00,150000.00,Previdencia Privada
109,Hugo Leonardo,M,21/03/1984,123.456.789-11,22334-1,0002,**** **** **** 1188,6000.00,3200.00,Tesouro Direto
110,Isabela Cristine,F,08/08/1999,234.567.890-22,99001-2,0003,**** **** **** 6675,2000.00,450.00,Poupanca
111,João Pedro Gomes,M,17/05/1975,345.678.901-33,44112-9,0001,**** **** **** 3342,8500.00,12800.00,CDB
112,Karina Silva,F,30/11/1996,456.789.012-44,55667-8,0002,**** **** **** 9901,3500.00,2100.00,Nenhum
113,Lucas Montagner,M,11/02/1990,567.890.123-55,88776-4,0001,**** **** **** 4456,18000.00,7400.00,Acoes
114,Melissa Albuquerque,F,28/06/1982,678.901.234-66,11002-3,0005,**** **** **** 7721,10000.00,320.00,LCA
115,Nivaldo Batista,M,04/10/1965,789.012.345-77,33445-6,0001,**** **** **** 8890,4500.00,980.00,Poupanca
116,Olivia Palito,F,15/12/2001,890.123.456-88,66778-9,0002,**** **** **** 1123,2000.00,50.00,Nenhum
117,Paulo Freire Ficticio,M,19/09/1978,901.234.567-99,99112-0,0001,**** **** **** 5567,12500.00,4300.00,Tesouro Direto
118,Quezia Maria,F,22/04/1994,012.345.678-00,22883-7,0003,**** **** **** 0098,5500.00,11200.00,CDB
119,Ricardo Eletro Ficticio,M,01/01/1987,123.456.789-10,55443-2,0001,**** **** **** 3345,9000.00,200.00,Acoes
120,Sabrina Sato Ficticia,F,10/03/1983,234.567.890-20,77665-1,0002,**** **** **** 4412,30000.00,88000.00,FIIs
121,Tiago Iorc Ficticio,M,29/07/1997,345.678.901-30,11998-4,0001,**** **** **** 6678,4000.00,1500.00,CDB
122,Ursula Corbero Ficticia,F,14/05/1989,456.789.012-40,33221-5,0004,**** **** **** 2211,15000.00,3400.00,Tesouro Direto
123,Vitor Kley Ficticio,M,08/11/1993,567.890.123-50,88990-6,0001,**** **** **** 8876,6000.00,120.00,Nenhum
124,Wagner Moura Ficticio,M,27/06/1976,678.901.234-60,44553-2,0002,**** **** **** 0034,25000.00,56000.00,Acoes
125,Xuxa Meneghel Ficticia,F,27/03/1963,789.012.345-70,11224-8,0001,**** **** **** 9987,100000.00,1000000.00,Private
126,Yuri Alberto Ficticio,M,18/03/2001,890.123.456-80,77661-0,0005,**** **** **** 5541,5000.00,23000.00,CDB
127,Zeca Pagodinho Ficticio,M,04/02/1959,901.234.567-90,99882-1,0001,**** **** **** 1129,8000.00,450.00,Poupanca
128,Aline Moraes Ficticia,F,22/12/1986,012.345.678-01,33441-0,0002,**** **** **** 7760,12000.00,9800.00,LCI
129,Carlos Eduardo Silva,M,15/03/1985,123.456.789-01,45231-0,0001,**** **** **** 4291,5000.00,1250.40,Tesouro Selic
130,Mariana Souza Lima,F,22/07/1998,234.567.890-12,88120-4,0001,**** **** **** 8832,12000.00,45300.00,FIIs
